ID,probability
TEST_00000,0.0010671142
TEST_00001,0.001141632
TEST_00002,0.15225823
TEST_00003,0.13711809
TEST_00004,0.41489124
TEST_00005,0.18890822
TEST_00006,0.5469407
TEST_00007,0.36610436
TEST_00008,0.23386551
TEST_00009,0.0002533005
TEST_00010,0.057698082
TEST_00011,0.41796318
TEST_00012,0.4592522
TEST_00013,0.44479403
TEST_00014,0.2570269
TEST_00015,0.0005153924
TEST_00016,0.19109625
TEST_00017,0.39615983
TEST_00018,0.18201494
TEST_00019,0.67276317
TEST_00020,0.27171656
TEST_00021,0.48521385
TEST_00022,0.29553133
TEST_00023,0.19498692
TEST_00024,0.48837385
TEST_00025,0.00040194133
TEST_00026,0.10330358
TEST_00027,0.3479042
TEST_00028,0.12324399
TEST_00029,0.2470823
TEST_00030,0.50210476
TEST_00031,0.21811613
TEST_00032,0.15612976
TEST_00033,0.178458
TEST_00034,0.40236545
TEST_00035,0.0008422446
TEST_00036,0.14697304
TEST_00037,0.24959701
TEST_00038,0.18156803
TEST_00039,0.013564184
TEST_00040,0.19401582
TEST_00041,0.13275935
TEST_00042,0.32291904
TEST_00043,0.30105925
TEST_00044,0.3408129
TEST_00045,0.52877
TEST_00046,0.5300398
TEST_00047,0.24609555
TEST_00048,0.12289765
TEST_00049,0.39448106
TEST_00050,0.30181214
TEST_00051,0.19053163
TEST_00052,0.10014183
TEST_00053,0.64102453
TEST_00054,0.00075574004
TEST_00055,0.47750124
TEST_00056,0.38871673
TEST_00057,0.15561648
TEST_00058,0.5803901
TEST_00059,0.17981046
TEST_00060,0.0029521189
TEST_00061,0.15522179
TEST_00062,0.35248658
TEST_00063,0.3594131
TEST_00064,0.24441779
TEST_00065,0.0019201976
TEST_00066,0.28215757
TEST_00067,0.21240127
TEST_00068,0.31588623
TEST_00069,0.5780475
TEST_00070,0.38981688
TEST_00071,0.40896264
TEST_00072,0.1967508
TEST_00073,0.30018282
TEST_00074,0.16018863
TEST_00075,0.26953894
TEST_00076,0.011411279
TEST_00077,0.00063991646
TEST_00078,0.14096028
TEST_00079,0.17757386
TEST_00080,0.41844007
TEST_00081,0.0003195891
TEST_00082,0.25574365
TEST_00083,0.20764646
TEST_00084,0.44147184
TEST_00085,0.38247257
TEST_00086,0.0007879997
TEST_00087,0.45019072
TEST_00088,0.11816331
TEST_00089,0.41050446
TEST_00090,0.26927623
TEST_00091,0.08801409
TEST_00092,0.30145115
TEST_00093,0.57648337
TEST_00094,0.0005608281
TEST_00095,0.00033506795
TEST_00096,0.5395824
TEST_00097,0.13723148
TEST_00098,0.3726551
TEST_00099,0.32471216
TEST_00100,0.069068626
TEST_00101,0.23803417
TEST_00102,0.4202683
TEST_00103,0.36169678
TEST_00104,0.39321628
TEST_00105,0.63789064
TEST_00106,0.26555634
TEST_00107,0.0011953646
TEST_00108,0.37210092
TEST_00109,0.0005744762
TEST_00110,0.4065797
TEST_00111,0.26783606
TEST_00112,0.012539085
TEST_00113,0.4492656
TEST_00114,0.22920531
TEST_00115,0.41107383
TEST_00116,0.00051562703
TEST_00117,0.48336515
TEST_00118,0.34236383
TEST_00119,0.16974492
TEST_00120,0.0008772317
TEST_00121,0.0006313939
TEST_00122,0.2755963
TEST_00123,0.52683187
TEST_00124,0.45111802
TEST_00125,0.31022018
TEST_00126,0.0029501193
TEST_00127,0.034705468
TEST_00128,0.28430906
TEST_00129,0.46912658
TEST_00130,0.17756411
TEST_00131,0.4751947
TEST_00132,0.0005194551
TEST_00133,0.30147353
TEST_00134,0.44636852
TEST_00135,0.0005079565
TEST_00136,0.18319036
TEST_00137,0.28995395
TEST_00138,0.05875112
TEST_00139,0.25031605
TEST_00140,0.016325144
TEST_00141,0.0007940877
TEST_00142,0.3629046
TEST_00143,0.00051662966
TEST_00144,0.116900526
TEST_00145,0.6529065
TEST_00146,0.15748192
TEST_00147,0.25475875
TEST_00148,0.2738068
TEST_00149,0.44666755
TEST_00150,0.00094757794
TEST_00151,0.0007424682
TEST_00152,0.3736589
TEST_00153,0.2601932
TEST_00154,0.024933385
TEST_00155,0.2908106
TEST_00156,0.2869556
TEST_00157,0.4318842
TEST_00158,0.49279118
TEST_00159,0.39005178
